	subject_ID
352	sub2555
353	sub70
354	sub1252
355	sub1451
356	sub305
357	sub2405
358	sub1562
359	sub2063
360	sub2668
361	sub2375
362	sub1782
363	sub447
364	sub2026
365	sub1996
366	sub1820
367	sub1851
368	sub3271
369	sub2223
370	sub1759
371	sub140
372	sub3257
373	sub3122
374	sub719
375	sub1866
376	sub1964
377	sub3048
378	sub1625
379	sub2265
380	sub924
381	sub1800
382	sub1321
383	sub1037
384	sub2030
385	sub3197
386	sub799
387	sub1150
388	sub665
389	sub287
390	sub2586
391	sub1510
392	sub385
393	sub1557
394	sub1074
395	sub1440
396	sub1560
397	sub1830
398	sub2109
399	sub2756
400	sub100
401	sub1748
402	sub2075
403	sub1262
404	sub229
405	sub1754
406	sub172
407	sub2735
408	sub1193
409	sub2008
410	sub1324
411	sub2707
412	sub2137
413	sub1187
414	sub2038
415	sub1586
416	sub754
417	sub2287
418	sub2897
419	sub1570
420	sub1628
421	sub3240
422	sub2804
423	sub834
424	sub2194
425	sub782
426	sub2975
427	sub1437
428	sub1036
429	sub525
430	sub1199
431	sub255
432	sub903
433	sub2699
434	sub2420
435	sub2732
436	sub2455
437	sub2459
438	sub3219
439	sub586
440	sub849
441	sub1134
442	sub2386
443	sub1702
444	sub2911
445	sub2639
446	sub1168
447	sub2246
448	sub2692
449	sub2797
450	sub2715
451	sub13
452	sub1907
453	sub900
454	sub3201
455	sub1374
456	sub787
457	sub16
458	sub1062
459	sub3280
460	sub2024
461	sub135
462	sub1967
463	sub494
464	sub1972
465	sub2461
466	sub815
467	sub3164
468	sub2002
469	sub493
470	sub946
471	sub1858
472	sub1554
473	sub1320
474	sub2083
475	sub3243
476	sub1137
477	sub3036
478	sub1149
479	sub2147
480	sub2206
481	sub1618
482	sub1113
483	sub1883
484	sub1330
485	sub1318
486	sub207
487	sub3207
488	sub3126
489	sub1991
490	sub1468
491	sub2828
492	sub1592
493	sub575
494	sub694
495	sub2983
496	sub2839
497	sub288
498	sub890
499	sub2642
500	sub1826
501	sub1191
502	sub959
503	sub3043
504	sub1376
505	sub499
506	sub2276
507	sub2953
508	sub1288
509	sub2440
510	sub2406
511	sub3182
512	sub3170
513	sub72
514	sub323
515	sub1459
516	sub536
517	sub203
518	sub37
519	sub40
520	sub1814
521	sub3290
522	sub659
523	sub3095
524	sub901
525	sub883
526	sub1802
527	sub2395
528	sub2801
529	sub2496
530	sub725
531	sub1844
532	sub695
533	sub1659
534	sub540
535	sub2931
536	sub22
537	sub680
538	sub917
539	sub398
540	sub507
541	sub349
542	sub3137
543	sub913
544	sub3272
545	sub1756
546	sub2815
547	sub2537
548	sub1326
549	sub1248
550	sub3075
551	sub2787
552	sub1579
553	sub2773
554	sub3033
555	sub289
556	sub857
557	sub807
558	sub2987
559	sub249
560	sub2167
561	sub2341
562	sub968
563	sub1154
564	sub2567
565	sub2598
566	sub1631
567	sub2101
568	sub1458
569	sub1107
570	sub783
571	sub1683
572	sub1930
573	sub1977
574	sub544
575	sub1118
576	sub2404
577	sub2162
578	sub407
579	sub1470
580	sub1227
581	sub2547
582	sub1224
583	sub1462
584	sub936
585	sub391
586	sub1304
587	sub334
588	sub137
589	sub2606
590	sub3279
591	sub3024
592	sub2222
593	sub168
594	sub1435
595	sub991
596	sub1412
597	sub884
598	sub422
599	sub701
600	sub565
601	sub707
602	sub1404
603	sub2713
604	sub2107
605	sub1720
606	sub285
607	sub916
608	sub1632
609	sub3241
610	sub1559
611	sub2556
612	sub2613
613	sub1688
614	sub1795
615	sub1903
616	sub1602
617	sub294
618	sub831
619	sub1034
620	sub2573
621	sub1948
622	sub296
623	sub1311
624	sub61
625	sub1778
626	sub319
627	sub1701
628	sub1959
629	sub145
630	sub1413
631	sub2888
632	sub981
633	sub856
634	sub1780
635	sub2995
636	sub1398
637	sub1221
638	sub1715
639	sub2526
640	sub2980
641	sub705
642	sub1474
643	sub2484
644	sub614
645	sub2062
646	sub563
647	sub2637
648	sub1463
649	sub3063
650	sub2389
651	sub583
652	sub2851
653	sub2039
654	sub723
655	sub209
656	sub291
657	sub1361
658	sub1348
659	sub1649
660	sub1666
661	sub3020
662	sub839
663	sub1947
664	sub535
665	sub3040
666	sub3121
667	sub1502
668	sub1886
669	sub1097
670	sub1233
671	sub2400
672	sub2131
673	sub66
674	sub1226
675	sub1492
676	sub1963
677	sub2021
678	sub669
679	sub1932
680	sub1684
681	sub584
682	sub3210
683	sub1847
684	sub1973
685	sub1083
686	sub3003
687	sub216
688	sub3202
689	sub3092
690	sub1655
691	sub1077
692	sub2165
693	sub2057
694	sub412
695	sub869
696	sub528
697	sub3247
698	sub2097
699	sub1422
700	sub1610
701	sub2907
702	sub2088
703	sub2906
704	sub1110
705	sub219
706	sub1786
707	sub2141
708	sub1395
709	sub1917
710	sub1256
711	sub1302
712	sub2310
713	sub1019
714	sub2634
715	sub63
716	sub1055
717	sub632
718	sub1375
719	sub3195
720	sub2079
721	sub1488
722	sub1988
723	sub551
724	sub1885
725	sub2327
726	sub2976
727	sub183
728	sub2932
729	sub419
730	sub58
731	sub862
732	sub1365
733	sub830
734	sub3172
735	sub2018
736	sub3110
737	sub205
738	sub1269
739	sub612
740	sub697
741	sub597
742	sub2314
743	sub1678
744	sub149
745	sub1657
746	sub1146
747	sub2403
748	sub2202
749	sub855
750	sub1414
751	sub3295
752	sub1003
753	sub1467
754	sub2332
755	sub1142
756	sub96
757	sub2494
758	sub1596
759	sub189
760	sub932
761	sub827
762	sub1577
763	sub28
764	sub1198
765	sub2898
766	sub769
767	sub1277
768	sub2357
769	sub1904
770	sub2841
771	sub590
772	sub495
773	sub3157
774	sub897
775	sub3057
776	sub482
777	sub1222
778	sub2413
779	sub1219
780	sub3132
781	sub3081
782	sub717
783	sub1772
784	sub1421
785	sub413
786	sub80
787	sub1783
788	sub1278
789	sub328
790	sub270
791	sub1635
792	sub2562
793	sub62
794	sub1787
795	sub1906
796	sub3120
797	sub2875
798	sub2432
799	sub3206
800	sub2842
801	sub2331
802	sub661
803	sub866
804	sub662
805	sub2621
806	sub3155
807	sub1872
808	sub2164
809	sub2
810	sub1431
811	sub1561
812	sub1423
813	sub2695
814	sub2479
815	sub2516
816	sub2770
817	sub3184
818	sub925
819	sub2655
820	sub640
821	sub2663
822	sub2050
823	sub667
824	sub2583
825	sub1140
826	sub2279
827	sub603
828	sub1597
829	sub1170
830	sub851
831	sub1072
832	sub970
833	sub2305
834	sub861
835	sub858
836	sub2574
837	sub1390
838	sub221
839	sub526
840	sub1640
841	sub1257
842	sub1690
843	sub1125
844	sub20
845	sub2749
846	sub2854
847	sub1740
848	sub210
849	sub1674
850	sub76
851	sub881
852	sub91
853	sub1011
854	sub983
855	sub321
856	sub2799
857	sub3142
858	sub2844
859	sub2203
860	sub1012
861	sub2326
862	sub655
863	sub1306
864	sub2240
865	sub2856
866	sub1593
867	sub1652
868	sub2159
869	sub367
870	sub2465
871	sub2336
872	sub561
873	sub3021
874	sub592
875	sub2572
876	sub1953
877	sub2398
878	sub1854
879	sub926
880	sub1246
881	sub1449
882	sub1135
883	sub509
884	sub432
885	sub2434
886	sub1608
887	sub246
888	sub2990
889	sub78
890	sub2295
891	sub529
892	sub2027
893	sub962
894	sub3220
895	sub181
896	sub1084
897	sub2838
898	sub124
899	sub953
900	sub1887
901	sub1599
902	sub801
903	sub577
904	sub377
905	sub120
906	sub2113
907	sub2035
908	sub2943
909	sub1261
910	sub2263
911	sub1120
912	sub1031
913	sub670
914	sub2248
915	sub2561
916	sub1507
917	sub1029
918	sub1898
919	sub1808
920	sub1114
921	sub2373
922	sub1761
923	sub557
924	sub408
925	sub1822
926	sub2660
927	sub1401
928	sub2743
929	sub2071
930	sub1043
931	sub1749
932	sub1821
933	sub1908
934	sub2665
935	sub2858
936	sub519
937	sub3089
938	sub2596
939	sub2281
940	sub104
941	sub1273
942	sub1533
943	sub1122
944	sub474
945	sub3265
946	sub2644
947	sub756
948	sub2352
949	sub1781
950	sub558
951	sub634
952	sub1979
953	sub1004
954	sub3104
955	sub1626
956	sub2436
957	sub3046
958	sub2677
959	sub2011
960	sub2244
961	sub1061
962	sub1313
963	sub1194
964	sub2636
965	sub2144
966	sub1859
967	sub2051
968	sub67
969	sub1646
970	sub546
971	sub3073
972	sub1569
973	sub2753
974	sub171
975	sub618
976	sub102
977	sub1943
978	sub152
979	sub1776
980	sub1397
981	sub2471
982	sub364
983	sub2089
984	sub2766
985	sub2388
986	sub589
987	sub1274
988	sub2918
989	sub2890
990	sub84
991	sub3269
992	sub2339
993	sub1167
994	sub714
995	sub3186
996	sub3298
997	sub2876
998	sub3072
999	sub1028
1000	sub1856
1001	sub1838
1002	sub461
1003	sub2618
1004	sub949
1005	sub1949
1006	sub1215
1007	sub689
1008	sub1038
1009	sub2280
1010	sub1445
1011	sub2183
1012	sub1329
1013	sub2902
1014	sub727
1015	sub647
1016	sub261
1017	sub450
1018	sub743
1019	sub2428
1020	sub2703
1021	sub1231
1022	sub3149
1023	sub2348
1024	sub2258
1025	sub1276
1026	sub1839
1027	sub3091
1028	sub1594
1029	sub1207
1030	sub2762
1031	sub105
1032	sub664
1033	sub2355
1034	sub1719
1035	sub1455
1036	sub2543
1037	sub3289
1038	sub1300
1039	sub2752
1040	sub2217
1041	sub3027
1042	sub1420
1043	sub2117
1044	sub3
1045	sub3246
1046	sub3221
1047	sub966
1048	sub591
1049	sub1621
1050	sub122
1051	sub1312
1052	sub1841
1053	sub741
1054	sub945
1055	sub1126
1056	sub2944
1057	sub3275
1058	sub3291
1059	sub978
1060	sub1148
1061	sub486
1062	sub1713
1063	sub2361
1064	sub1286
1065	sub2679
1066	sub2299
1067	sub2510
1068	sub414
1069	sub1806
1070	sub1121
1071	sub1151
1072	sub1612
1073	sub898
1074	sub2672
1075	sub585
1076	sub68
1077	sub2394
1078	sub1259
1079	sub555
1080	sub1984
1081	sub2466
1082	sub2036
1083	sub508
1084	sub1002
1085	sub878
1086	sub1385
1087	sub2080
1088	sub2500
1089	sub239
1090	sub722
1091	sub428
1092	sub3276
1093	sub3042
1094	sub1732
1095	sub0
1096	sub2277
1097	sub2779
1098	sub1328
1099	sub2610
1100	sub696
1101	sub1214
1102	sub1857
1103	sub2921
1104	sub153
1105	sub335
1106	sub1109
1107	sub2690
1108	sub1073
1109	sub1124
1110	sub951
1111	sub3102
1112	sub1615
1113	sub3194
1114	sub2267
1115	sub2847
1116	sub3158
1117	sub2475
1118	sub2929
1119	sub2230
1120	sub420
1121	sub1828
1122	sub930
1123	sub308
1124	sub166
1125	sub895
1126	sub2072
1127	sub942
1128	sub2322
1129	sub1188
1130	sub2174
1131	sub2905
1132	sub2917
1133	sub2928
1134	sub1598
1135	sub2646
1136	sub341
1137	sub253
1138	sub1709
1139	sub2998
1140	sub418
1141	sub2090
1142	sub3251
1143	sub2910
1144	sub2968
1145	sub3200
1146	sub1542
1147	sub1955
1148	sub2747
1149	sub549
1150	sub3191
1151	sub2863
1152	sub338
1153	sub832
1154	sub2778
1155	sub473
1156	sub1735
1157	sub1417
1158	sub2218
1159	sub497
1160	sub1588
1161	sub2916
1162	sub2201
1163	sub2359
1164	sub928
1165	sub2229
1166	sub363
1167	sub1217
1168	sub1282
1169	sub1634
1170	sub477
1171	sub1672
1172	sub213
1173	sub2468
1174	sub1817
1175	sub1811
1176	sub2106
1177	sub882
1178	sub2825
1179	sub236
1180	sub2324
1181	sub977
1182	sub1925
1183	sub2739
1184	sub2870
1185	sub1183
1186	sub3123
1187	sub2529
1188	sub2536
1189	sub2581
1190	sub1491
1191	sub332
1192	sub2237
1193	sub2820
1194	sub3071
1195	sub1089
1196	sub556
1197	sub1236
1198	sub850
1199	sub14
1200	sub2152
1201	sub27
1202	sub29
1203	sub1041
1204	sub2124
1205	sub2554
1206	sub550
1207	sub3058
1208	sub602
1209	sub1287
1210	sub620
1211	sub2697
1212	sub1147
1213	sub1999
1214	sub2215
1215	sub3217
1216	sub139
1217	sub1279
1218	sub1355
1219	sub2777
1220	sub284
1221	sub2003
1222	sub1342
1223	sub1017
1224	sub619
1225	sub964
1226	sub1294
1227	sub1606
1228	sub44
1229	sub2317
1230	sub1295
1231	sub2220
1232	sub777
1233	sub454
1234	sub299
1235	sub2684
1236	sub1343
1237	sub158
1238	sub3130
1239	sub2000
1240	sub2208
1241	sub107
1242	sub2112
1243	sub1711
1244	sub682
1245	sub2988
1246	sub2329
1247	sub2590
1248	sub3249
1249	sub805
1250	sub2108
1251	sub2158
1252	sub865
1253	sub2006
1254	sub2701
1255	sub415
1256	sub1411
1257	sub1583
1258	sub345
1259	sub2045
1260	sub1338
1261	sub1978
1262	sub1538
1263	sub1862
1264	sub1249
1265	sub601
1266	sub1308
1267	sub985
1268	sub817
1269	sub2615
1270	sub93
1271	sub195
1272	sub1950
1273	sub672
1274	sub2558
1275	sub1970
1276	sub1871
1277	sub1752
1278	sub357
1279	sub683
1280	sub1976
1281	sub2098
1282	sub646
1283	sub1209
1284	sub3034
1285	sub1040
1286	sub876
1287	sub2648
1288	sub825
1289	sub1746
1290	sub1834
1291	sub746
1292	sub15
1293	sub3127
1294	sub2257
1295	sub1427
1296	sub353
1297	sub2286
1298	sub1251
1299	sub1573
1300	sub1921
1301	sub1159
1302	sub2116
1303	sub2710
1304	sub1757
1305	sub935
1306	sub1744
1307	sub178
1308	sub919
1309	sub2478
1310	sub510
1311	sub147
1312	sub716
1313	sub1285
1314	sub254
1315	sub3144
1316	sub2261
1317	sub2525
1318	sub1407
1319	sub2439
1320	sub2947
1321	sub2837
1322	sub2579
1323	sub3263
1324	sub1853
1325	sub1952
1326	sub1587
1327	sub165
1328	sub1104
1329	sub2705
1330	sub1371
1331	sub2297
1332	sub1184
1333	sub330
1334	sub3029
1335	sub3297
1336	sub223
1337	sub1284
1338	sub2049
1339	sub2802
1340	sub1750
1341	sub52
1342	sub3055
1343	sub1738
1344	sub225
1345	sub843
1346	sub2814
1347	sub1489
1348	sub2869
1349	sub2060
1350	sub2397
1351	sub2245
1352	sub904
1353	sub2939
1354	sub1726
1355	sub833
1356	sub2446
1357	sub1531
1358	sub718
1359	sub465
1360	sub2490
1361	sub2284
1362	sub313
1363	sub2408
1364	sub2958
1365	sub89
1366	sub134
1367	sub2818
1368	sub1693
1369	sub1253
1370	sub92
1371	sub2435
1372	sub2013
1373	sub3051
1374	sub1141
1375	sub2524
1376	sub1200
1377	sub2627
1378	sub1051
1379	sub1954
1380	sub573
1381	sub2541
1382	sub809
1383	sub57
1384	sub346
1385	sub617
1386	sub2670
1387	sub427
1388	sub2864
1389	sub2444
1390	sub1604
1391	sub2460
1392	sub902
1393	sub85
1394	sub3125
1395	sub684
1396	sub2114
1397	sub1912
1398	sub1299
1399	sub1539
1400	sub1807
1401	sub1105
1402	sub138
1403	sub1129
1404	sub1775
1405	sub1392
1406	sub2539
1407	sub3205
1408	sub2132
1409	sub1565
1410	sub2456
1411	sub503
1412	sub1478
1413	sub2343
1414	sub1123
1415	sub1823
1416	sub559
1417	sub564
1418	sub192
1419	sub2793
1420	sub1614
1421	sub2074
1422	sub1848
1423	sub97
1424	sub266
1425	sub224
1426	sub749
1427	sub3124
1428	sub396
1429	sub2160
1430	sub310
1431	sub1171
1432	sub2938
1433	sub2447
1434	sub452
1435	sub2771
1436	sub340
1437	sub356
1438	sub2744
1439	sub2978
1440	sub1637
1441	sub2599
1442	sub518
1443	sub2374
1444	sub2604
1445	sub845
1446	sub222
1447	sub1692
1448	sub344
1449	sub821
1450	sub1850
1451	sub691
1452	sub2956
1453	sub604
1454	sub292
1455	sub1890
1456	sub31
1457	sub1244
1458	sub484
1459	sub2989
1460	sub979
1461	sub2043
1462	sub666
1463	sub3009
1464	sub2238
1465	sub109
1466	sub1192
1467	sub81
1468	sub3228
1469	sub1867
1470	sub2532
1471	sub2827
1472	sub1377
1473	sub1353
1474	sub2661
1475	sub268
1476	sub642
1477	sub1057
1478	sub1931
1479	sub1442
1480	sub630
1481	sub3113
1482	sub430
1483	sub1483
1484	sub574
1485	sub2789
1486	sub186
1487	sub1069
1488	sub1824
1489	sub2896
1490	sub3203
1491	sub729
1492	sub1022
1493	sub594
1494	sub657
1495	sub1529
1496	sub1576
1497	sub1829
1498	sub739
1499	sub2549
1500	sub1980
1501	sub1234
1502	sub3188
1503	sub3037
1504	sub1268
1505	sub1680
1506	sub3005
1507	sub706
1508	sub404
1509	sub1714
1510	sub1882
1511	sub2595
1512	sub155
1513	sub90
1514	sub1063
1515	sub2592
1516	sub2268
1517	sub2716
1518	sub639
1519	sub3270
1520	sub2391
1521	sub1962
1522	sub50
1523	sub2853
1524	sub2241
1525	sub3227
1526	sub1506
1527	sub3065
1528	sub896
1529	sub1448
1530	sub316
1531	sub596
1532	sub1471
1533	sub1545
1534	sub1595
1535	sub194
1536	sub98
1537	sub708
1538	sub1801
1539	sub1009
1540	sub2575
1541	sub23
1542	sub599
1543	sub1232
1544	sub2328
1545	sub2957
1546	sub1891
1547	sub699
1548	sub715
1549	sub887
1550	sub2698
1551	sub3162
1552	sub582
1553	sub2860
1554	sub3067
1555	sub690
1556	sub613
1557	sub3080
1558	sub1589
1559	sub812
1560	sub2542
1561	sub1845
1562	sub513
1563	sub779
1564	sub2431
1565	sub1027
1566	sub2919
1567	sub1432
1568	sub3283
1569	sub3274
1570	sub1902
1571	sub2307
1572	sub652
1573	sub227
1574	sub163
1575	sub848
1576	sub2105
1577	sub1526
1578	sub87
1579	sub948
1580	sub2467
1581	sub733
1582	sub2638
1583	sub371
1584	sub3292
1585	sub1837
1586	sub3259
1587	sub765
1588	sub1370
1589	sub3214
1590	sub2895
1591	sub1111
1592	sub753
1593	sub1556
1594	sub108
1595	sub1799
1596	sub2014
1597	sub1380
1598	sub298
1599	sub388
1600	sub1180
1601	sub2608
1602	sub1379
1603	sub2058
1604	sub2764
1605	sub1206
1606	sub2064
1607	sub823
1608	sub2233
1609	sub2727
1610	sub710
1611	sub2759
1612	sub772
1613	sub2964
1614	sub1900
1615	sub1920
1616	sub3047
1617	sub397
1618	sub2984
1619	sub2930
1620	sub1387
1621	sub580
1622	sub2676
1623	sub2971
1624	sub1937
1625	sub1727
1626	sub2790
1627	sub2796
1628	sub471
1629	sub2430
1630	sub116
1631	sub306
1632	sub174
1633	sub2094
1634	sub2110
1635	sub131
1636	sub355
1637	sub2656
1638	sub961
1639	sub327
1640	sub2130
1641	sub3284
1642	sub1327
1643	sub763
1644	sub1333
1645	sub2212
1646	sub622
1647	sub1863
1648	sub55
1649	sub241
1650	sub3018
1651	sub361
1652	sub1995
1653	sub3050
1654	sub1656
1655	sub2362
1656	sub3178
1657	sub1025
1658	sub3250
1659	sub934
1660	sub3175
1661	sub237
1662	sub1895
1663	sub75
1664	sub2214
1665	sub1112
1666	sub295
1667	sub1582
1668	sub1102
1669	sub2221
1670	sub2224
1671	sub3169
1672	sub1460
1673	sub1403
1674	sub2151
1675	sub2903
1676	sub2950
1677	sub2882
1678	sub2070
1679	sub2061
1680	sub1340
1681	sub1555
1682	sub1201
1683	sub2737
1684	sub658
1685	sub3012
1686	sub1512
1687	sub1664
1688	sub2365
1689	sub1364
1690	sub1045
1691	sub263
1692	sub2304
1693	sub220
1694	sub616
1695	sub2506
1696	sub1161
1697	sub3148
1698	sub2522
1699	sub2729
1700	sub1229
1701	sub1372
1702	sub1128
1703	sub2020
1704	sub275
1705	sub1922
1706	sub2153
1707	sub2366
1708	sub2016
1709	sub1337
1710	sub2065
1711	sub1497
1712	sub3242
1713	sub374
1714	sub651
1715	sub128
1716	sub421
1717	sub1520
1718	sub2323
1719	sub113
1720	sub2722
1721	sub915
1722	sub692
1723	sub1741
1724	sub742
1725	sub2419
1726	sub2528
1727	sub1794
1728	sub2017
1729	sub148
1730	sub2417
1731	sub3190
1732	sub998
1733	sub17
1734	sub2378
1735	sub350
1736	sub972
1737	sub764
1738	sub3053
1739	sub2657
1740	sub2800
1741	sub2901
1742	sub3163
1743	sub1093
1744	sub1032
1745	sub2184
1746	sub1706
1747	sub3199
1748	sub3114
1749	sub3238
1750	sub2040
1751	sub1108
1752	sub2857
1753	sub770
1754	sub1181
1755	sub2653
1756	sub2641
1757	sub3077
1758	sub1747
1759	sub2740
1760	sub1717
1761	sub252
1762	sub2073
1763	sub2879
1764	sub1981
1765	sub3079
1766	sub2658
1767	sub907
1768	sub892
1769	sub625
1770	sub1366
1771	sub2480
1772	sub2720
1773	sub1336
1774	sub654
1775	sub1893
1776	sub258
1777	sub819
1778	sub2199
1779	sub1424
1780	sub811
1781	sub795
1782	sub1189
1783	sub2829
1784	sub1059
1785	sub2992
1786	sub3204
1787	sub170
1788	sub2180
1789	sub2544
1790	sub2451
1791	sub3230
1792	sub3103
1793	sub2682
1794	sub156
1795	sub759
1796	sub2719
1797	sub468
1798	sub250
1799	sub524
1800	sub2635
1801	sub1228
1802	sub3087
1803	sub2961
1804	sub325
1805	sub2414
1806	sub2513
1807	sub2977
1808	sub2100
1809	sub1660
1810	sub2318
1811	sub2234
1812	sub262
1813	sub232
1814	sub351
1815	sub2306
1816	sub1026
1817	sub1402
1818	sub3084
1819	sub963
1820	sub1590
1821	sub1023
1822	sub2612
1823	sub2142
1824	sub24
1825	sub1466
1826	sub1213
1827	sub2123
1828	sub1803
1829	sub2497
1830	sub606
1831	sub1884
1832	sub1133
1833	sub3160
1834	sub958
1835	sub211
1836	sub711
1837	sub1694
1838	sub1864
1839	sub1665
1840	sub1923
1841	sub141
1842	sub2922
1843	sub247
1844	sub1878
1845	sub893
1846	sub2942
1847	sub3069
1848	sub1347
1849	sub973
1850	sub1536
1851	sub130
1852	sub162
1853	sub157
1854	sub2200
1855	sub868
1856	sub1879
1857	sub259
1858	sub3098
1859	sub470
1860	sub30
1861	sub572
1862	sub738
1863	sub1208
1864	sub3239
1865	sub2084
1866	sub2231
1867	sub1524
1868	sub436
1869	sub3044
1870	sub1788
1871	sub2487
1872	sub2781
1873	sub2887
1874	sub1162
1875	sub1106
1876	sub1332
1877	sub660
1878	sub2421
1879	sub3001
1880	sub2228
1881	sub3088
1882	sub196
1883	sub383
1884	sub1956
1885	sub1605
1886	sub1263
1887	sub88
1888	sub1899
1889	sub2994
1890	sub2564
1891	sub2997
1892	sub2757
1893	sub389
1894	sub2511
1895	sub1974
1896	sub231
1897	sub2830
1898	sub48
1899	sub933
1900	sub840
1901	sub1987
1902	sub362
1903	sub1357
1904	sub1362
1905	sub25
1906	sub1212
1907	sub2185
1908	sub1487
1909	sub2791
1910	sub2868
1911	sub1476
1912	sub369
1913	sub1505
1914	sub3112
1915	sub2946
1916	sub1643
1917	sub1237
1918	sub1052
1919	sub943
1920	sub789
1921	sub1585
1922	sub1933
1923	sub2824
1924	sub631
1925	sub1130
1926	sub1934
1927	sub2126
1928	sub2381
1929	sub677
1930	sub516
1931	sub1544
1932	sub750
1933	sub3094
1934	sub1447
1935	sub1021
1936	sub2001
1937	sub3235
1938	sub1434
1939	sub1725
1940	sub1305
1941	sub2588
1942	sub3023
1943	sub217
1944	sub2493
1945	sub1127
1946	sub512
1947	sub1825
